iter	Passed	Remaining
538	2988	2555
539	2990	2547
540	2994	2540
541	2998	2533
542	3000	2525
543	3003	2517
544	3005	2509
545	3008	2501
546	3010	2493
547	3013	2485
548	3016	2477
549	3018	2469
550	3021	2461
551	3023	2454
552	3026	2446
553	3029	2438
554	3032	2431
555	3035	2423
556	3037	2415
557	3040	2408
558	3042	2400
559	3045	2392
560	3048	2385
561	3050	2377
562	3053	2369
563	3056	2362
564	3058	2354
565	3061	2347
566	3063	2339
567	3066	2332
568	3069	2325
569	3072	2317
570	3074	2310
571	3077	2302
572	3079	2295
573	3082	2287
574	3085	2280
575	3088	2273
576	3090	2265
577	3093	2258
578	3096	2251
579	3099	2244
580	3102	2237
581	3105	2230
582	3108	2223
583	3110	2215
584	3113	2208
585	3115	2201
586	3117	2193
587	3120	2186
588	3123	2179
589	3125	2172
590	3128	2165
591	3131	2158
592	3134	2151
593	3137	2144
594	3140	2137
595	3143	2130
596	3147	2124
597	3150	2117
598	3152	2110
599	3155	2103
600	3158	2096
601	3160	2089
602	3163	2082
603	3165	2075
604	3168	2068
605	3171	2061
606	3173	2054
607	3176	2048
608	3179	2041
609	3182	2034
610	3184	2027
611	3187	2020
612	3189	2013
613	3192	2006
614	3195	2000
615	3197	1993
616	3200	1986
617	3203	1979
618	3205	1972
619	3208	1966
620	3210	1959
621	3213	1952
622	3215	1946
623	3218	1939
624	3220	1932
625	3223	1926
626	3226	1919
627	3231	1914
628	3234	1907
629	3237	1901
630	3239	1894
631	3242	1888
632	3245	1881
633	3248	1875
634	3251	1869
635	3255	1863
636	3267	1862
637	3270	1855
638	3275	1850
639	3278	1843
640	3280	1837
641	3283	1830
642	3286	1824
643	3288	1818
644	3292	1812
645	3295	1805
646	3298	1799
647	3301	1793
648	3304	1787
649	3306	1780
650	3309	1774
651	3312	1767
652	3315	1761
653	3318	1755
654	3322	1750
655	3325	1744
656	3329	1738
657	3332	1732
658	3335	1725
659	3337	1719
660	3340	1713
661	3343	1706
662	3345	1700
663	3348	1694
664	3350	1688
665	3354	1682
666	3356	1675
667	3359	1669
668	3362	1663
669	3365	1657
670	3368	1651
671	3370	1645
672	3373	1639
673	3376	1633
674	3378	1626
675	3381	1620
676	3384	1614
677	3387	1608
678	3389	1602
679	3391	1596
680	3394	1590
681	3397	1584
682	3400	1578
683	3403	1572
684	3406	1566
685	3409	1560
686	3412	1554
687	3415	1548
688	3418	1542
689	3421	1536
690	3423	1531
691	3426	1525
692	3429	1519
693	3431	1513
694	3435	1507
695	3437	1501
696	3441	1495
697	3443	1490
698	3446	1484
699	3449	1478
700	3452	1472
701	3454	1466
702	3457	1460
703	3461	1455
704	3464	1449
705	3468	1444
706	3471	1438
707	3477	1434
708	3480	1428
709	3483	1422
710	3486	1417
711	3489	1411
712	3492	1405
713	3494	1399
714	3497	1394
715	3500	1388
716	3503	1382
717	3505	1376
718	3508	1371
719	3510	1365
720	3514	1359
